FID,Shape,Z,x_mv,y_mv
0,Point,1960.932349,474037,862986
1,Point,1973.890167,475270,863913
2,Point,1885.054452,476210,864709
3,Point,2147.55974,472368,862710
4,Point,2207.267018,472003,859142
5,Point,2193.563759,472264,858565
6,Point,2257.060076,475287,858815
7,Point,2162.437796,479962,858708
8,Point,2152.656105,481175,859982
9,Point,1944.6194,477233,861825
10,Point,1997.995686,478665,862998
11,Point,2310.654768,474027,858193
12,Point,1937.479305,477728,861344
13,Point,1923.345241,477360,863387
14,Point,2085.476391,476160,863524
15,Point,1984.520622,474919,863250
16,Point,2182.269003,472536,862897
17,Point,1988.662664,472975,864371
18,Point,2060.200722,471370,861524
19,Point,2212.89185,471514,860347
20,Point,2048.501235,471025,860420
21,Point,1995.629398,470957,860692
22,Point,2063.547522,470996,860040
23,Point,1995.629398,470957,860692
24,Point,2306.635856,476656,858554
25,Point,2076.126656,480485,858729
26,Point,1756.859926,478823,864367
27,Point,2281.737367,476755,858803
28,Point,2251.37861,478051,858743
29,Point,2159.129536,478573,859021
30,Point,2057.588989,480349,859936
31,Point,2132.245968,480172,859350
32,Point,2142.153802,480356,859207
33,Point,2132.392802,480126,858836
34,Point,2129.895812,480854,859317
35,Point,2211.836007,477741,858694
36,Point,2233.405821,477433,858714
37,Point,2230.474936,477918,858687
38,Point,2166.902256,477663,858336
39,Point,1967.001846,480237,857033
40,Point,1896.302769,480600,862507
41,Point,2029.782852,478457,862481
42,Point,2050.972798,478333,861948
43,Point,1890.229873,477389,862085
44,Point,1923.215397,477265,862781
45,Point,1757.388628,480459,865030
46,Point,1711.180292,479485,866204
47,Point,1768.626306,475681,867463
48,Point,1942.604441,475019,864996
49,Point,1932.20537,473408,864731
50,Point,1782.251825,474156,868377
51,Point,1694.816727,470499,866466
52,Point,1713.080446,471750,867278
53,Point,1698.017425,472025,867270
54,Point,1689.827771,472371,867418
55,Point,1695.263176,472016,866528
56,Point,1777.952534,471796,865802
57,Point,1700.450414,471198,865794
58,Point,1752.227659,471402,864849
59,Point,1776.568393,471308,864365
60,Point,1669.035715,472426,868144
61,Point,2163.624265,472620,863060
62,Point,2199.542885,472296,860541
63,Point,2234.805691,472091,860174
64,Point,2134.827967,472344,861314
65,Point,2258.861306,475573,858594
66,Point,1831.155423,478210,856009
67,Point,2161.018543,473078,859539
68,Point,2166.332785,473136,859412
69,Point,2167.827512,473284,859205
70,Point,2170.820521,473783,859261
71,Point,2166.634181,472439,860063
72,Point,2024.932872,471255,861140
73,Point,1975.828255,474313,863245
74,Point,1965.791477,475172,863376
75,Point,2251.111459,477087,858769
76,Point,2252.692953,476521,858794
77,Point,2037.331151,475207,857327
78,Point,2036.391527,475479,857207
79,Point,2007.392907,479781,857640
80,Point,2019.981208,479840,857790
81,Point,2021.290285,479869,857907
82,Point,2070.212953,479892,858121
83,Point,1913.79,472884,864943
84,Point,1962.5,473544,864561
85,Point,1926.3,474440,861694
86,Point,2060.9,474479,860609
87,Point,,473640,870163
88,Point,,473097,870215
89,Point,,472152,869962
90,Point,,475232,869079
91,Point,,474213,871108
92,Point,,473364,871539
93,Point,,482147,868254
94,Point,,480206,868143
95,Point,,468118,869229
