x_mf,y_mf
468000,854000
468500,854000
469000,854000
469500,854000
470000,854000
470500,854000
471000,854000
471500,854000
472000,854000
472500,854000
473000,854000
473500,854000
474000,854000
474500,854000
475000,854000
475500,854000
476000,854000
476500,854000
477000,854000
477500,854000
478000,854000
478500,854000
479000,854000
479500,854000
480000,854000
480500,854000
481000,854000
481500,854000
482000,854000
482500,854000
483000,854000
483500,854000
484000,854000
468000,854500
468500,854500
469000,854500
469500,854500
470000,854500
470500,854500
471000,854500
471500,854500
472000,854500
472500,854500
473000,854500
473500,854500
474000,854500
474500,854500
475000,854500
475500,854500
476000,854500
476500,854500
477000,854500
477500,854500
478000,854500
478500,854500
479000,854500
479500,854500
480000,854500
480500,854500
481000,854500
481500,854500
482000,854500
482500,854500
483000,854500
483500,854500
484000,854500
468000,855000
468500,855000
469000,855000
469500,855000
470000,855000
470500,855000
471000,855000
471500,855000
472000,855000
472500,855000
473000,855000
473500,855000
474000,855000
474500,855000
475000,855000
475500,855000
476000,855000
476500,855000
477000,855000
477500,855000
478000,855000
478500,855000
479000,855000
479500,855000
480000,855000
480500,855000
481000,855000
481500,855000
482000,855000
482500,855000
483000,855000
483500,855000
484000,855000
468000,855500
468500,855500
469000,855500
469500,855500
470000,855500
470500,855500
471000,855500
471500,855500
472000,855500
472500,855500
473000,855500
473500,855500
474000,855500
474500,855500
475000,855500
475500,855500
476000,855500
476500,855500
477000,855500
477500,855500
478000,855500
478500,855500
479000,855500
479500,855500
480000,855500
480500,855500
481000,855500
481500,855500
482000,855500
482500,855500
483000,855500
483500,855500
484000,855500
468000,856000
468500,856000
469000,856000
469500,856000
470000,856000
470500,856000
471000,856000
471500,856000
472000,856000
472500,856000
473000,856000
473500,856000
474000,856000
474500,856000
475000,856000
475500,856000
476000,856000
476500,856000
477000,856000
477500,856000
478000,856000
478500,856000
479000,856000
479500,856000
480000,856000
480500,856000
481000,856000
481500,856000
482000,856000
482500,856000
483000,856000
483500,856000
484000,856000
468000,856500
468500,856500
469000,856500
469500,856500
470000,856500
470500,856500
471000,856500
471500,856500
472000,856500
472500,856500
473000,856500
473500,856500
474000,856500
474500,856500
475000,856500
475500,856500
476000,856500
476500,856500
477000,856500
477500,856500
478000,856500
478500,856500
479000,856500
479500,856500
480000,856500
480500,856500
481000,856500
481500,856500
482000,856500
482500,856500
483000,856500
483500,856500
484000,856500
468000,857000
468500,857000
469000,857000
469500,857000
470000,857000
470500,857000
471000,857000
471500,857000
472000,857000
472500,857000
473000,857000
473500,857000
474000,857000
474500,857000
475000,857000
475500,857000
476000,857000
476500,857000
477000,857000
477500,857000
478000,857000
478500,857000
479000,857000
479500,857000
480000,857000
480500,857000
481000,857000
481500,857000
482000,857000
482500,857000
483000,857000
483500,857000
484000,857000
468000,857500
468500,857500
469000,857500
469500,857500
470000,857500
470500,857500
471000,857500
471500,857500
472000,857500
472500,857500
473000,857500
473500,857500
474000,857500
474500,857500
475000,857500
475500,857500
476000,857500
476500,857500
477000,857500
477500,857500
478000,857500
478500,857500
479000,857500
479500,857500
480000,857500
480500,857500
481000,857500
481500,857500
482000,857500
482500,857500
483000,857500
483500,857500
484000,857500
468000,858000
468500,858000
469000,858000
469500,858000
470000,858000
470500,858000
471000,858000
471500,858000
472000,858000
472500,858000
473000,858000
473500,858000
474000,858000
474500,858000
475000,858000
475500,858000
476000,858000
476500,858000
477000,858000
477500,858000
478000,858000
478500,858000
479000,858000
479500,858000
480000,858000
480500,858000
481000,858000
481500,858000
482000,858000
482500,858000
483000,858000
483500,858000
484000,858000
468000,858500
468500,858500
469000,858500
469500,858500
470000,858500
470500,858500
471000,858500
471500,858500
472000,858500
472500,858500
473000,858500
473500,858500
474000,858500
474500,858500
475000,858500
475500,858500
476000,858500
476500,858500
477000,858500
477500,858500
478000,858500
478500,858500
479000,858500
479500,858500
480000,858500
480500,858500
481000,858500
481500,858500
482000,858500
482500,858500
483000,858500
483500,858500
484000,858500
468000,859000
468500,859000
469000,859000
469500,859000
470000,859000
470500,859000
471000,859000
471500,859000
472000,859000
472500,859000
473000,859000
473500,859000
474000,859000
474500,859000
475000,859000
475500,859000
476000,859000
476500,859000
477000,859000
477500,859000
478000,859000
478500,859000
479000,859000
479500,859000
480000,859000
480500,859000
481000,859000
481500,859000
482000,859000
482500,859000
483000,859000
483500,859000
484000,859000
468000,859500
468500,859500
469000,859500
469500,859500
470000,859500
470500,859500
471000,859500
471500,859500
472000,859500
472500,859500
473000,859500
473500,859500
474000,859500
474500,859500
475000,859500
475500,859500
476000,859500
476500,859500
477000,859500
477500,859500
478000,859500
478500,859500
479000,859500
479500,859500
480000,859500
480500,859500
481000,859500
481500,859500
482000,859500
482500,859500
483000,859500
483500,859500
484000,859500
468000,860000
468500,860000
469000,860000
469500,860000
470000,860000
470500,860000
471000,860000
471500,860000
472000,860000
472500,860000
473000,860000
473500,860000
474000,860000
474500,860000
475000,860000
475500,860000
476000,860000
476500,860000
477000,860000
477500,860000
478000,860000
478500,860000
479000,860000
479500,860000
480000,860000
480500,860000
481000,860000
481500,860000
482000,860000
482500,860000
483000,860000
483500,860000
484000,860000
468000,860500
468500,860500
469000,860500
469500,860500
470000,860500
470500,860500
471000,860500
471500,860500
472000,860500
472500,860500
473000,860500
473500,860500
474000,860500
474500,860500
475000,860500
475500,860500
476000,860500
476500,860500
477000,860500
477500,860500
478000,860500
478500,860500
479000,860500
479500,860500
480000,860500
480500,860500
481000,860500
481500,860500
482000,860500
482500,860500
483000,860500
483500,860500
484000,860500
468000,861000
468500,861000
469000,861000
469500,861000
470000,861000
470500,861000
471000,861000
471500,861000
472000,861000
472500,861000
473000,861000
473500,861000
474000,861000
474500,861000
475000,861000
475500,861000
476000,861000
476500,861000
477000,861000
477500,861000
478000,861000
478500,861000
479000,861000
479500,861000
480000,861000
480500,861000
481000,861000
481500,861000
482000,861000
482500,861000
483000,861000
483500,861000
484000,861000
468000,861500
468500,861500
469000,861500
469500,861500
470000,861500
470500,861500
471000,861500
471500,861500
472000,861500
472500,861500
473000,861500
473500,861500
474000,861500
474500,861500
475000,861500
475500,861500
476000,861500
476500,861500
477000,861500
477500,861500
478000,861500
478500,861500
479000,861500
479500,861500
480000,861500
480500,861500
481000,861500
481500,861500
482000,861500
482500,861500
483000,861500
483500,861500
484000,861500
468000,862000
468500,862000
469000,862000
469500,862000
470000,862000
470500,862000
471000,862000
471500,862000
472000,862000
472500,862000
473000,862000
473500,862000
474000,862000
474500,862000
475000,862000
475500,862000
476000,862000
476500,862000
477000,862000
477500,862000
478000,862000
478500,862000
479000,862000
479500,862000
480000,862000
480500,862000
481000,862000
481500,862000
482000,862000
482500,862000
483000,862000
483500,862000
484000,862000
468000,862500
468500,862500
469000,862500
469500,862500
470000,862500
470500,862500
471000,862500
471500,862500
472000,862500
472500,862500
473000,862500
473500,862500
474000,862500
474500,862500
475000,862500
475500,862500
476000,862500
476500,862500
477000,862500
477500,862500
478000,862500
478500,862500
479000,862500
479500,862500
480000,862500
480500,862500
481000,862500
481500,862500
482000,862500
482500,862500
483000,862500
483500,862500
484000,862500
468000,863000
468500,863000
469000,863000
469500,863000
470000,863000
470500,863000
471000,863000
471500,863000
472000,863000
472500,863000
473000,863000
473500,863000
474000,863000
474500,863000
475000,863000
475500,863000
476000,863000
476500,863000
477000,863000
477500,863000
478000,863000
478500,863000
479000,863000
479500,863000
480000,863000
480500,863000
481000,863000
481500,863000
482000,863000
482500,863000
483000,863000
483500,863000
484000,863000
468000,863500
468500,863500
469000,863500
469500,863500
470000,863500
470500,863500
471000,863500
471500,863500
472000,863500
472500,863500
473000,863500
473500,863500
474000,863500
474500,863500
475000,863500
475500,863500
476000,863500
476500,863500
477000,863500
477500,863500
478000,863500
478500,863500
479000,863500
479500,863500
480000,863500
480500,863500
481000,863500
481500,863500
482000,863500
482500,863500
483000,863500
483500,863500
484000,863500
468000,864000
468500,864000
469000,864000
469500,864000
470000,864000
470500,864000
471000,864000
471500,864000
472000,864000
472500,864000
473000,864000
473500,864000
474000,864000
474500,864000
475000,864000
475500,864000
476000,864000
476500,864000
477000,864000
477500,864000
478000,864000
478500,864000
479000,864000
479500,864000
480000,864000
480500,864000
481000,864000
481500,864000
482000,864000
482500,864000
483000,864000
483500,864000
484000,864000
468000,864500
468500,864500
469000,864500
469500,864500
470000,864500
470500,864500
471000,864500
471500,864500
472000,864500
472500,864500
473000,864500
473500,864500
474000,864500
474500,864500
475000,864500
475500,864500
476000,864500
476500,864500
477000,864500
477500,864500
478000,864500
478500,864500
479000,864500
479500,864500
480000,864500
480500,864500
481000,864500
481500,864500
482000,864500
482500,864500
483000,864500
483500,864500
484000,864500
468000,865000
468500,865000
469000,865000
469500,865000
470000,865000
470500,865000
471000,865000
471500,865000
472000,865000
472500,865000
473000,865000
473500,865000
474000,865000
474500,865000
475000,865000
475500,865000
476000,865000
476500,865000
477000,865000
477500,865000
478000,865000
478500,865000
479000,865000
479500,865000
480000,865000
480500,865000
481000,865000
481500,865000
482000,865000
482500,865000
483000,865000
483500,865000
484000,865000
468000,865500
468500,865500
469000,865500
469500,865500
470000,865500
470500,865500
471000,865500
471500,865500
472000,865500
472500,865500
473000,865500
473500,865500
474000,865500
474500,865500
475000,865500
475500,865500
476000,865500
476500,865500
477000,865500
477500,865500
478000,865500
478500,865500
479000,865500
479500,865500
480000,865500
480500,865500
481000,865500
481500,865500
482000,865500
482500,865500
483000,865500
483500,865500
484000,865500
468000,866000
468500,866000
469000,866000
469500,866000
470000,866000
470500,866000
471000,866000
471500,866000
472000,866000
472500,866000
473000,866000
473500,866000
474000,866000
474500,866000
475000,866000
475500,866000
476000,866000
476500,866000
477000,866000
477500,866000
478000,866000
478500,866000
479000,866000
479500,866000
480000,866000
480500,866000
481000,866000
481500,866000
482000,866000
482500,866000
483000,866000
483500,866000
484000,866000
468000,866500
468500,866500
469000,866500
469500,866500
470000,866500
470500,866500
471000,866500
471500,866500
472000,866500
472500,866500
473000,866500
473500,866500
474000,866500
474500,866500
475000,866500
475500,866500
476000,866500
476500,866500
477000,866500
477500,866500
478000,866500
478500,866500
479000,866500
479500,866500
480000,866500
480500,866500
481000,866500
481500,866500
482000,866500
482500,866500
483000,866500
483500,866500
484000,866500
468000,867000
468500,867000
469000,867000
469500,867000
470000,867000
470500,867000
471000,867000
471500,867000
472000,867000
472500,867000
473000,867000
473500,867000
474000,867000
474500,867000
475000,867000
475500,867000
476000,867000
476500,867000
477000,867000
477500,867000
478000,867000
478500,867000
479000,867000
479500,867000
480000,867000
480500,867000
481000,867000
481500,867000
482000,867000
482500,867000
483000,867000
483500,867000
484000,867000
468000,867500
468500,867500
469000,867500
469500,867500
470000,867500
470500,867500
471000,867500
471500,867500
472000,867500
472500,867500
473000,867500
473500,867500
474000,867500
474500,867500
475000,867500
475500,867500
476000,867500
476500,867500
477000,867500
477500,867500
478000,867500
478500,867500
479000,867500
479500,867500
480000,867500
480500,867500
481000,867500
481500,867500
482000,867500
482500,867500
483000,867500
483500,867500
484000,867500
468000,868000
468500,868000
469000,868000
469500,868000
470000,868000
470500,868000
471000,868000
471500,868000
472000,868000
472500,868000
473000,868000
473500,868000
474000,868000
474500,868000
475000,868000
475500,868000
476000,868000
476500,868000
477000,868000
477500,868000
478000,868000
478500,868000
479000,868000
479500,868000
480000,868000
480500,868000
481000,868000
481500,868000
482000,868000
482500,868000
483000,868000
483500,868000
484000,868000
468000,868500
468500,868500
469000,868500
469500,868500
470000,868500
470500,868500
471000,868500
471500,868500
472000,868500
472500,868500
473000,868500
473500,868500
474000,868500
474500,868500
475000,868500
475500,868500
476000,868500
476500,868500
477000,868500
477500,868500
478000,868500
478500,868500
479000,868500
479500,868500
480000,868500
480500,868500
481000,868500
481500,868500
482000,868500
482500,868500
483000,868500
483500,868500
484000,868500
468000,869000
468500,869000
469000,869000
469500,869000
470000,869000
470500,869000
471000,869000
471500,869000
472000,869000
472500,869000
473000,869000
473500,869000
474000,869000
474500,869000
475000,869000
475500,869000
476000,869000
476500,869000
477000,869000
477500,869000
478000,869000
478500,869000
479000,869000
479500,869000
480000,869000
480500,869000
481000,869000
481500,869000
482000,869000
482500,869000
483000,869000
483500,869000
484000,869000
468000,869500
468500,869500
469000,869500
469500,869500
470000,869500
470500,869500
471000,869500
471500,869500
472000,869500
472500,869500
473000,869500
473500,869500
474000,869500
474500,869500
475000,869500
475500,869500
476000,869500
476500,869500
477000,869500
477500,869500
478000,869500
478500,869500
479000,869500
479500,869500
480000,869500
480500,869500
481000,869500
481500,869500
482000,869500
482500,869500
483000,869500
483500,869500
484000,869500
468000,870000
468500,870000
469000,870000
469500,870000
470000,870000
470500,870000
471000,870000
471500,870000
472000,870000
472500,870000
473000,870000
473500,870000
474000,870000
474500,870000
475000,870000
475500,870000
476000,870000
476500,870000
477000,870000
477500,870000
478000,870000
478500,870000
479000,870000
479500,870000
480000,870000
480500,870000
481000,870000
481500,870000
482000,870000
482500,870000
483000,870000
483500,870000
484000,870000
468000,870500
468500,870500
469000,870500
469500,870500
470000,870500
470500,870500
471000,870500
471500,870500
472000,870500
472500,870500
473000,870500
473500,870500
474000,870500
474500,870500
475000,870500
475500,870500
476000,870500
476500,870500
477000,870500
477500,870500
478000,870500
478500,870500
479000,870500
479500,870500
480000,870500
480500,870500
481000,870500
481500,870500
482000,870500
482500,870500
483000,870500
483500,870500
484000,870500
468000,871000
468500,871000
469000,871000
469500,871000
470000,871000
470500,871000
471000,871000
471500,871000
472000,871000
472500,871000
473000,871000
473500,871000
474000,871000
474500,871000
475000,871000
475500,871000
476000,871000
476500,871000
477000,871000
477500,871000
478000,871000
478500,871000
479000,871000
479500,871000
480000,871000
480500,871000
481000,871000
481500,871000
482000,871000
482500,871000
483000,871000
483500,871000
484000,871000
468000,871500
468500,871500
469000,871500
469500,871500
470000,871500
470500,871500
471000,871500
471500,871500
472000,871500
472500,871500
473000,871500
473500,871500
474000,871500
474500,871500
475000,871500
475500,871500
476000,871500
476500,871500
477000,871500
477500,871500
478000,871500
478500,871500
479000,871500
479500,871500
480000,871500
480500,871500
481000,871500
481500,871500
482000,871500
482500,871500
483000,871500
483500,871500
484000,871500
468000,872000
468500,872000
469000,872000
469500,872000
470000,872000
470500,872000
471000,872000
471500,872000
472000,872000
472500,872000
473000,872000
473500,872000
474000,872000
474500,872000
475000,872000
475500,872000
476000,872000
476500,872000
477000,872000
477500,872000
478000,872000
478500,872000
479000,872000
479500,872000
480000,872000
480500,872000
481000,872000
481500,872000
482000,872000
482500,872000
483000,872000
483500,872000
484000,872000
